,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
5664,35562,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5665,35563,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5666,35564,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5667,35565,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5668,35566,935000.0,2,0.0,0,934000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1888,1891,0,0
5669,35567,434000.0,1,224500.0,3,209000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1889,1889,1886,1888
5670,35568,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5671,35569,1457000.0,5,0.0,0,1435000,5,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1890,1904,0,0
5672,35570,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5673,35571,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5674,35572,261000.0,1,0.0,0,260000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1904,1904,0,0
5675,35573,1820100.0,3,39500.0,1,1780000,3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1890,1907,1905,1905
5676,35574,277500.0,1,64500.0,1,212500,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1907,1907,1905,1905
5677,35575,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
